S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
72,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education Crash Course Day 1 | Physical Education For All Teaching Exams 2024 by Monu Sir,https://www.youtube.com/watch?v=N586eSeVvVg
73,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #36 | DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=vBAnGUqMc-U
74,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,EMRS TGT Physical Education Marathon 2023 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=Yyr6S9KO0o0
75,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #35 | DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=NU7L2nbPtKc
76,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #34 | DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=AZjs4EznDoM
77,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #33 | DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=TrNLERiVX78
78,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,EMRS TGT Physical Education Marathon 2023 | Physical Education By Monu Sir,https://www.youtube.com/watch?v=5XOWz63VjD0
79,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #32 | DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=iH1T-G7gTnU
80,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #31 | DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=spk17Kbdj-s
81,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #30 | DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=JncXjyRAsu0
82,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #29 | DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=3XJyPF0fwu8
83,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #28 | BPSC 2.0 /DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=MHu7EoopLbQ
84,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #27 | BPSC 2.0 /DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=XbFxsA8nEMc
85,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #26 | BPSC 2.0 /DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=QF7DusqWZBM
86,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #25 | BPSC 2.0 /DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=hQDjRF10lDM
87,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #24 | BPSC 2.0 /DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=SDY4iwR988A
88,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #23 | BPSC 2.0 /DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=qalwQW9_0kA
89,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #22 | BPSC 2.0 /DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=xNjAZerOWLk
90,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #21 | BPSC 2.0 /DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=wNBpXwS6CHM
91,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #20 | BPSC 2.0 /DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=4CcxCqTyzfA
92,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #19 | BPSC 2.0 /DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=IQDEDXqKTME
93,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #18 | BPSC 2.0 /DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=emPS33a5yHw
94,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #17 | BPSC 2.0 /DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=tA1gwOm9oXY
95,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #16 | BPSC 2.0 /DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=gSFLjnnSVnk
96,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #15 | BPSC 2.0 /DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=_pk6CizifxQ
97,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #14 | BPSC 2.0 /DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=6It63bTBtbU
98,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #13 | BPSC 2.0 /DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=1bLd6E7545s
99,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #12 | BPSC 2.0 /DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=V0n0h0m49Cc
100,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #11 | BPSC 2.0 /DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=9Xl1e461n64
101,Physical Education,Physical Education For All Teaching Exams By Monu Sir,,12th,English/Hindi,Module 8:  Chandigarh & Bihar शिक्षक भर्ती,Physical Education For Teaching Exams #10 | BPSC 2.0 /DSSSB/EMRS/UP TGT/Punjab Physical Education,https://www.youtube.com/watch?v=Kk35zMjYdgw
